name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Gligar,75,5120,60.0,105,1059860,65,35,65,ground,flying,85,False
Makuhita,60,5120,180.0,30,1640000,72,20,30,fighting,,25,False
Squirtle,48,5120,45.0,65,1059860,44,50,64,water,,43,False
Nidoqueen,92,5120,45.0,87,1059860,90,75,85,poison,ground,76,False
Crustle,105,5120,75.0,125,1000000,70,65,75,bug,rock,45,False
Carnivine,100,6400,200.0,72,1250000,74,90,72,grass,,46,False
Ditto,48,5120,35.0,48,1000000,48,48,48,normal,,48,False
Snorunt,50,5120,190.0,50,1000000,50,50,50,ice,,50,False
Purugly,82,5120,75.0,64,800000,71,64,59,normal,,112,False
Magmortar,95,6400,30.0,67,1000000,75,125,95,fire,,83,False
Magneton,60,5120,60.0,95,1000000,50,120,70,electric,steel,70,False
Bronzong,89,5120,90.0,116,1000000,67,79,116,steel,psychic,33,False
Golett,74,6400,190.0,50,1000000,59,35,50,ground,ghost,35,False
Slaking,160,3840,45.0,100,1250000,150,95,65,normal,,100,False
Burmy,29,3840,120.0,45,1000000,40,29,45,bug,,36,False
Dewgong,70,5120,75.0,80,1000000,90,70,95,water,ice,70,False
Stunfisk,66,5120,75.0,84,1000000,109,81,99,ground,electric,32,False
Gastly,35,5120,190.0,30,1059860,30,100,35,ghost,poison,80,False
Blastoise,103,5120,45.0,120,1059860,79,135,115,water,,78,False
Turtonator,78,5120,70.0,135,1000000,60,91,85,fire,dragon,36,False
Spewpa,22,3840,120.0,60,1000000,45,27,30,bug,,29,False
Pelipper,50,5120,45.0,100,1000000,60,95,70,water,flying,65,False
Stantler,95,5120,45.0,62,1250000,73,85,65,normal,,85,False
Barboach,48,5120,190.0,43,1000000,50,46,41,water,ground,60,False
Phione,80,10240,30.0,80,1250000,80,80,80,water,,80,False
Trumbeak,85,3840,120.0,50,1000000,55,40,50,normal,flying,75,False
Chimchar,58,5120,45.0,44,1059860,44,58,44,fire,,61,False
Luxray,120,5120,45.0,79,1059860,80,95,79,electric,,70,False
Quilava,64,5120,45.0,58,1059860,58,80,65,fire,,80,False
Cosmog,29,30720,45.0,31,1250000,43,29,31,psychic,,37,True
Drampa,60,5120,70.0,85,1000000,78,135,91,normal,dragon,36,False
Camerupt,120,5120,150.0,100,1000000,70,145,105,fire,ground,20,False
Cherubi,35,5120,190.0,45,1000000,45,62,53,grass,,35,False
Breloom,130,3840,90.0,80,1640000,60,60,60,grass,fighting,70,False
Litwick,30,5120,190.0,55,1059860,50,65,55,ghost,fire,20,False
Elekid,63,6400,45.0,37,1000000,45,65,55,electric,,95,False
Roserade,70,5120,75.0,65,1059860,60,125,105,grass,poison,90,False
Joltik,47,5120,190.0,50,1000000,50,57,50,bug,electric,65,False
Lillipup,60,3840,255.0,45,1059860,45,25,45,normal,,55,False
Toxicroak,106,5120,75.0,65,1000000,83,86,65,poison,fighting,85,False
Beheeyem,75,5120,90.0,75,1000000,75,125,95,psychic,,40,False
Incineroar,115,3840,45.0,90,1059860,95,80,90,fire,dark,60,False
Bisharp,125,5120,45.0,100,1000000,65,60,70,dark,steel,70,False
Golisopod,125,5120,45.0,140,1000000,75,60,90,bug,water,40,False
Marshtomp,85,5120,45.0,70,1059860,70,60,70,water,ground,50,False
Mandibuzz,65,5120,60.0,105,1250000,110,55,95,dark,flying,80,False
Togetic,40,2560,75.0,85,800000,55,80,105,fairy,flying,40,False
Wynaut,23,5120,125.0,48,1000000,95,23,48,psychic,,23,False
Klink,55,5120,130.0,70,1059860,40,45,60,steel,,30,False
Blitzle,60,5120,190.0,32,1000000,45,50,32,electric,,76,False
Tyrunt,89,7680,45.0,77,1000000,58,45,45,rock,dragon,48,False
Dunsparce,70,5120,190.0,70,1000000,100,65,65,normal,,45,False
Nidoran♂,57,5120,235.0,40,1059860,46,40,40,poison,,50,False
Vullaby,55,5120,190.0,75,1250000,70,45,65,dark,flying,60,False
Meditite,40,5120,180.0,55,1000000,30,40,55,fighting,psychic,60,False
Alomomola,75,10240,75.0,80,800000,165,40,45,water,,65,False
Parasect,95,5120,75.0,80,1000000,60,60,80,bug,grass,30,False
Spearow,60,3840,255.0,30,1000000,40,31,31,normal,flying,70,False
Tauros,100,5120,45.0,95,1250000,75,40,70,normal,,110,False
Eevee,55,8960,45.0,50,1000000,55,45,65,normal,,55,False
Slugma,40,5120,190.0,40,1000000,40,70,40,fire,,20,False
Beartic,130,5120,60.0,80,1000000,95,70,80,ice,,50,False
Scyther,110,6400,45.0,80,1000000,70,55,80,bug,flying,105,False
Garchomp,170,10240,45.0,115,1250000,108,120,95,dragon,ground,92,False
Kadabra,35,5120,100.0,30,1059860,40,120,70,psychic,,105,False
Combee,30,3840,120.0,42,1059860,30,30,42,bug,flying,70,False
Espeon,65,8960,45.0,60,1000000,65,130,95,psychic,,110,False
Gabite,90,10240,45.0,65,1250000,68,50,55,dragon,ground,82,False
Starmie,75,5120,60.0,85,1250000,60,100,85,water,psychic,115,False
Crobat,90,3840,90.0,80,1000000,85,70,80,poison,flying,130,False
Banette,165,6400,45.0,75,800000,64,93,83,ghost,,75,False
Mudsdale,125,5120,60.0,100,1000000,100,55,85,ground,,35,False
Spritzee,52,5120,200.0,60,1000000,78,63,65,fairy,,23,False
Venomoth,65,5120,75.0,60,1000000,70,90,75,bug,poison,90,False
Shaymin,103,30720,45.0,75,1059860,100,120,75,grass,grass,127,True
Binacle,52,5120,120.0,67,1000000,42,39,56,rock,water,50,False
Skarmory,80,6400,25.0,140,1250000,65,40,70,steel,flying,70,False
Durant,109,5120,90.0,112,1000000,58,48,48,bug,steel,109,False
Ponyta,85,5120,190.0,55,1000000,50,65,65,fire,,90,False
Archen,112,7680,45.0,45,1000000,55,74,45,rock,flying,70,False
Tangrowth,100,5120,30.0,125,1000000,100,110,50,grass,,50,False
Omastar,60,7680,45.0,125,1000000,70,115,70,rock,water,55,False
Druddigon,120,7680,45.0,90,1000000,77,60,90,dragon,,48,False
Ribombee,55,5120,75.0,60,1000000,60,95,70,bug,fairy,124,False
Spiritomb,92,7680,100.0,108,1000000,50,92,108,ghost,dark,35,False
Larvesta,85,10240,45.0,55,1250000,55,50,55,bug,fire,60,False
Ledian,35,3840,90.0,50,800000,55,55,110,bug,flying,85,False
Medicham,100,5120,90.0,85,1000000,60,80,85,fighting,psychic,100,False
Staravia,75,3840,120.0,50,1059860,55,40,40,normal,flying,80,False
Fennekin,45,5120,45.0,40,1059860,40,62,60,fire,,60,False
Tangela,55,5120,45.0,115,1000000,65,100,40,grass,,60,False
Heatran,90,2560,3.0,106,1250000,91,130,106,fire,steel,77,True
Numel,60,5120,255.0,40,1000000,60,65,45,fire,ground,35,False
Deoxys,95,30720,3.0,90,1250000,50,95,90,psychic,,180,True
Venonat,55,5120,190.0,50,1000000,60,40,55,bug,poison,45,False
Mismagius,60,6400,45.0,60,800000,60,105,105,ghost,,105,False
Rowlet,55,3840,45.0,55,1059860,68,50,50,grass,flying,42,False
Dragonite,134,10240,45.0,95,1250000,91,100,100,dragon,flying,80,False
Florges,65,5120,45.0,68,1000000,78,112,154,fairy,,75,False
Musharna,55,2560,75.0,85,800000,116,107,95,psychic,,29,False
Helioptile,38,5120,190.0,33,1000000,44,61,43,electric,normal,70,False
Caterpie,30,3840,255.0,35,1000000,45,20,20,bug,,45,False
Kirlia,35,5120,120.0,35,1250000,38,65,55,psychic,fairy,50,False
Silvally,95,30720,3.0,95,1250000,95,95,95,normal,,95,False
Lickitung,55,5120,45.0,75,1000000,90,60,75,normal,,30,False
Brionne,69,3840,45.0,69,1059860,60,91,81,water,,50,False
Shelmet,40,3840,200.0,85,1000000,50,40,65,bug,,25,False
Cutiefly,45,5120,190.0,40,1000000,40,55,40,bug,fairy,84,False
Togedemaru,98,2560,180.0,63,1000000,65,40,73,electric,steel,96,False
Tentacruel,70,5120,60.0,65,1250000,80,80,120,water,poison,100,False
Shuppet,75,6400,225.0,35,800000,44,63,33,ghost,,45,False
Aurorus,77,7680,45.0,72,1000000,123,99,92,rock,ice,58,False
Slowpoke,65,5120,190.0,65,1000000,90,40,40,water,psychic,15,False
Jirachi,100,30720,3.0,100,1250000,100,100,100,steel,psychic,100,True
Shedinja,90,3840,45.0,45,600000,1,30,30,bug,ghost,40,False
Necrozma,107,30720,3.0,101,1250000,97,127,89,psychic,,79,True
Zweilous,85,10240,45.0,70,1250000,72,65,70,dark,dragon,58,False
Flabébé,38,5120,225.0,39,1000000,44,61,79,fairy,,42,False
Mantyke,20,6400,25.0,50,1250000,45,60,120,water,flying,50,False
Seismitoad,95,5120,45.0,75,1059860,105,85,75,water,ground,74,False
